lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E06000043,16.32111599747788,57,1,-0.7651624324508364,137,3,-2.3342420480712525,41,1,3,5,1
E06000044,37.18586952283032,138,3,-1.5241397053398502,103,2,0.8964651314296352,221,4,5,4,2
E06000045,16.500619717803477,58,1,-3.3103581287266843,63,2,-0.42801192061428983,123,2,4,5,1
E06000046,59.58439856418599,230,4,4.8316797574129655,283,5,-1.3277410034768722,70,2,3,2,4
E06000047,43.70102913038414,171,3,3.7576960928294754,263,5,-2.9951557092584467,22,1,3,3,3
E06000049,25.42158583605479,98,2,0.6325535419282425,182,3,-1.3525567208055485,67,2,3,1,3
E06000050,15.383634218320744,52,1,-0.9762268200360775,129,3,-2.1973528233513986,42,1,4,2,3
E06000051,72.82205135956961,263,5,6.8524218751579635,298,5,-2.425225670313421,40,1,2,2,5
E06000052,47.30055806652156,182,3,4.335421493600912,273,5,-4.561690382055302,2,1,3,2,5
E06000053,129.6041830717948,309,5,8.4400922859238,308,5,1.3419955116821458,244,4,1,1,1
E06000054,25.319888048129197,97,2,1.538153994020608,201,4,-2.840075473189254,24,1,2,2,4
E06000055,19.54235761580319,73,2,-1.3383858396005874,110,2,-0.5993966256219668,108,2,4,3,4
E06000056,38.2202759273945,144,3,-3.4437219369179015,60,1,1.2999300284504545,240,4,2,2,3
E06000057,56.6968458648008,220,4,4.9746351499604815,284,5,-2.7367061316974457,28,1,4,3,4
E06000058,15.31266734700443,51,1,-0.7690274171918632,135,3,-2.6814956164951598,32,1,5,5,1
E06000059,37.351228210983194,139,3,2.8941850596084175,243,4,-2.45468995555407,39,1,3,3,4
E06000060,8.687040324061071,28,1,-2.871249977961881,73,2,-2.5907484974942268,35,1,2,1,3
E06000061,32.994029905250514,124,2,-1.4546809061026127,106,2,0.5988777327321311,201,4,3,4,3
E06000062,26.83904845232282,104,2,-1.3381127790200962,111,2,0.03201846243727502,163,3,3,3,3
E07000008,16.592287294156208,59,1,-1.0213345467963562,126,3,-1.5009151100283136,60,1,3,2,2
E07000009,32.55821480578714,122,2,0.6033604863793123,181,3,-0.2770142434713269,134,3,2,1,4
E07000010,58.82003719802967,228,4,1.2941302294480441,197,4,1.4457180730649914,248,5,3,1,5
E07000011,22.2919701886851,81,2,-1.554837921424181,102,2,-0.20962983193424864,138,3,3,1,5
E07000012,26.346398327729958,103,2,-1.8045857817555013,95,2,0.1978498930678096,171,3,1,1,5
E07000026,73.6711443453548,265,5,5.589506135821306,288,5,-0.02674750723716346,155,3,2,4,5
E07000027,79.68528366478854,277,5,4.354737069571126,274,5,1.2429505376294123,235,4,5,5,3
E07000028,52.04268594973291,203,4,2.7995601262883985,238,4,0.3142984602717377,178,3,4,4,5
E07000029,54.9203893815735,213,4,4.0070356640156115,269,5,-0.5825649526548925,110,2,2,4,5
E07000030,82.48985621176853,280,5,6.984090903954345,301,5,-0.9620989267330256,89,2,2,4,5
E07000031,74.39669901312463,267,5,6.543107900882987,296,5,-0.9765947305104473,88,2,2,1,5
E07000032,31.51632705600064,119,2,0.8985450612897157,190,4,-0.5549767044099343,112,2,1,1,3
E07000033,65.30078429632786,247,4,2.830601956841159,241,4,1.179586867575615,234,4,1,2,2
E07000034,55.30826915528583,216,4,3.329577934983601,252,5,0.15924745494324077,169,3,1,4,2
E07000035,74.11301576760572,266,5,6.678719316690069,297,5,-1.2641918545199207,71,2,1,3,5
E07000036,35.826448441004466,132,3,-1.3105645610544017,114,2,0.7254352489198389,210,4,3,3,5
E07000037,67.51350006565399,250,5,3.3065827490598076,250,5,1.0846094414140475,231,4,2,4,5
E07000038,41.7941637397214,159,3,0.57152432936931985,179,3,0.5198743776845789,195,4,1,3,3
E07000039,58.21391571873238,224,4,-0.8662842202927575,133,3,2.2119276132459613,270,5,1,1,4
E07000040,66.55504239871078,248,5,5.837382159660424,290,5,-1.1526314480417896,79,2,3,3,5
E07000041,25.02991823202209,94,2,-1.904826260843489,93,2,0.0446490111462014,164,3,5,5,4
E07000042,50.788972875758716,196,4,3.12490472266139,247,4,-0.05103643074693878,151,3,4,3,5
E07000043,41.3526165759852,156,3,2.8363167017390527,242,4,-0.9840315023008716,86,2,4,3,5
E07000044,78.56153227994328,273,5,6.007550052423132,294,5,-0.12271051334071634,145,3,2,4,5
E07000045,38.2906779684846,145,3,1.876528384337641,214,4,-0.3558542812677892,127,3,3,4,5
E07000046,69.62023854401355,253,5,4.771810463899105,282,5,0.013381037782217789,161,3,4,3,5
E07000047,97.64292686939723,294,5,6.965902256513853,300,5,0.6730438936931648,206,4,1,3,5
E07000061,58.409666540209855,226,4,1.833282002693194,212,4,1.2709306375857539,237,4,5,5,4
E07000062,20.867734905839843,77,2,-0.20625110425824977,152,3,-1.336901424923198,69,2,3,5,3
E07000063,38.428635173275914,146,3,1.8019509161539025,209,4,-0.22527468779042076,137,3,4,3,3
E07000064,56.91403012385652,221,4,4.117801627963498,271,5,-0.5093911449063702,118,2,2,5,5
E07000065,55.946829260731704,217,4,2.137183354519928,224,4,0.8341913452653464,217,4,1,2,4
E07000066,94.49789985656224,291,5,-4.104408207147823,48,1,5.69096300739788,307,5,2,5,1
E07000067,40.057690157850004,151,3,-0.7021374460036011,139,3,0.7642233390570685,215,4,2,2,4
E07000068,18.512892340824145,66,2,-3.6772446853550127,57,1,-0.13145412066132656,143,3,1,4,2
E07000069,107.11250130303486,302,5,-2.149840770376835,84,2,7.522970453492774,309,5,4,2,5
E07000070,27.81837240249102,109,2,-3.062010853095181,69,2,0.5068291374640257,194,4,3,2,3
E07000071,55.140594393448225,215,4,-0.13733266948733552,155,3,1.6917180356877606,257,5,2,3,3
E07000072,15.62476715348275,54,1,-3.743634797028601,56,1,-0.45047969130722104,121,2,2,2,4
E07000073,64.64015358793624,246,4,-2.4870606188055553,79,2,2.7196540496589146,288,5,2,4,1
E07000074,72.50312678476138,260,5,3.6427096612022014,259,5,1.2629119856775,236,4,2,1,5
E07000075,80.41584600773825,278,5,-5.541877424613977,19,1,4.007956173170015,303,5,2,1,3
E07000076,119.90146711070643,306,5,7.092778845136628,302,5,1.9851192809118068,265,5,4,4,4
E07000077,41.51954401241,157,3,0.7612050596798747,187,4,0.419477434114659,186,4,1,1,5
E07000078,37.793221372108086,141,3,-2.039520859296732,89,2,1.0626946039746312,229,4,3,4,3
E07000079,52.51582979730716,204,4,3.355680521900693,255,5,-0.13628595388368203,142,3,1,2,5
E07000080,48.63352452369597,188,4,3.401150254982391,256,5,-0.6054222864184755,107,2,1,2,4
E07000081,21.573214082439097,78,2,-3.256585513159722,64,2,0.012479317177528593,160,3,4,2,4
E07000082,31.60010023617164,121,2,1.2045504685427773,194,4,-0.6273994350898486,106,2,1,3,4
E07000083,48.292403056127554,186,4,0.5017843856973769,176,3,0.9825973743178138,226,4,1,2,5
E07000084,46.433578420864066,179,3,-1.8423623514710257,94,2,1.5516848205286957,254,5,1,1,2
E07000085,33.299009683205384,126,3,-0.45297243278365606,146,3,0.2921043410428291,176,3,2,1,3
E07000086,16.665752552673162,61,1,-3.8944181460153238,51,1,-0.27817573261954043,133,3,3,1,4
E07000087,61.744200379416505,237,4,-2.7993133620255524,76,2,2.5172089250561043,285,5,2,2,3
E07000088,72.71713677092248,262,5,0.40231851978773836,171,3,2.5097808511983772,284,5,4,3,2
E07000089,73.07616374984188,264,5,-4.234471917632633,43,1,3.533266373882983,298,5,2,1,5
E07000090,98.30494081772875,296,5,0.18126895099093254,163,3,4.418110089085386,304,5,2,1,4
E07000091,33.06933311337308,125,3,1.754035377094931,207,4,-0.7625299690292823,95,2,3,2,5
E07000092,51.180564726667384,200,4,-4.980100420398143,29,1,2.315961614483692,276,5,4,1,2
