MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02002226,669,0.044287038
E02002247,588,0.063615709
E02002250,1112,0.129891368
E02002256,4302,0.450282604
E02002258,353,0.038294641
E02002260,556,0.059344647
E02002264,192,0.027099506
E02002265,1751,0.30697756
E02002275,273,0.031736805
E02002287,175,0.023449015
E02002294,526,0.047796456
E02002299,1319,0.174263443
E02002301,413,0.048725814
E02002312,1393,0.127179768
E02002314,311,0.052702932
E02002315,260,0.038072924
E02002329,415,0.033952385
E02002331,186,0.026461801
E02002335,199,0.026533333
E02002337,180,0.024363833
E02002357,161,0.020341124
E02002367,215,0.034829094
E02002393,785,0.085030329
E02002404,1724,0.159511473
E02002409,309,0.052506372
E02002411,285,0.032331254
E02002426,438,0.057239937
E02002427,223,0.033204288
E02002432,1048,0.146205357
E02002439,891,0.105418836
E02002456,1058,0.131330685
E02002459,1596,0.164011921
E02002464,476,0.054756701
E02002465,1328,0.218852999
E02002466,267,0.028849271
E02002467,383,0.042400089
E02002484,185,0.017705044
E02002487,166,0.031457267
E02002489,430,0.055627426
E02002496,517,0.039012979
E02002499,506,0.068322981
E02002502,279,0.030257022
E02002515,273,0.039548023
E02002537,993,0.114917255
E02002546,590,0.078635213
E02002558,861,0.079788713
E02002564,332,0.034124782
E02002566,297,0.04278306
E02002573,407,0.046286819
E02002580,470,0.058414119
E02002581,330,0.045069653
E02002582,339,0.038584111
E02002590,203,0.027770178
E02002591,296,0.045884359
E02002596,271,0.033820042
E02002597,264,0.028448276
E02002600,2999,0.335121243
E02002601,1231,0.14062143
E02002603,293,0.042390046
E02002606,2483,0.207244804
E02002607,1654,0.142328543
E02002608,881,0.106969403
E02002609,339,0.034948454
E02002610,219,0.017231883
E02002611,747,0.095990748
E02002613,665,0.103020914
E02002619,327,0.036345448
E02002620,209,0.023472597
E02002627,286,0.037205672
E02002633,5559,0.720918169
E02002634,2160,0.271561479
E02002652,8734,0.584292213
E02002653,4598,0.574247533
E02002654,8097,1
E02002655,3150,0.361653272
E02002656,4953,1
E02002657,7176,1
E02002658,3377,0.531308999
E02002659,10864,1
E02002660,5880,0.87643464
E02002661,7313,0.888578372
E02002662,5375,0.788701394
E02002663,6966,1
E02002664,7019,1
E02002665,8008,1
E02002666,9022,1
E02002667,7099,1
E02002668,8424,1
E02002669,8116,1
E02002670,7800,1
E02002671,8819,1
E02002672,7365,1
E02002673,7397,1
E02002674,6270,0.969237904
E02002675,9207,1
E02002676,7320,1
E02002677,7350,0.879923381
E02002678,8029,1
E02002679,7116,0.956708793
E02002680,9792,1
E02002681,8968,1
E02002682,8790,0.927900348
E02002689,745,0.131439661
E02002692,374,0.041193964
E02002694,1025,0.084543055
E02002695,227,0.027332932
E02002696,166,0.028102252
E02002697,544,0.070851784
E02002698,311,0.036566725
E02002699,2563,0.263303883
E02002700,249,0.039448669
E02002703,618,0.068942436
E02002704,965,0.135400589
E02002705,934,0.145482866
E02002706,4527,0.631997766
E02002707,574,0.07829764
E02002708,812,0.122695678
E02002709,5631,0.710984848
E02002712,5872,0.771616294
E02002714,810,0.103540841
E02002715,1082,0.080130341
E02002716,7579,0.885293774
E02002717,2975,0.373931624
E02002719,270,0.042620363
E02002720,5058,0.66851705
E02002721,3197,0.498207885
E02002722,447,0.051385217
E02002723,8457,0.95624152
E02002724,9758,1
E02002725,1673,0.249366523
E02002726,5123,0.488463005
E02002727,5516,1
E02002728,7690,1
E02002729,1553,0.267620196
E02002730,7549,1
E02002731,6064,1
E02002732,426,0.053965037
E02002733,4111,0.715205289
E02002734,3123,0.566376496
E02002735,3124,0.619226957
E02002736,5028,0.838838839
E02002737,4223,0.590299133
E02002738,252,0.03609798
E02002739,479,0.08218943
E02002740,910,0.164141414
E02002741,2354,0.261352282
E02002742,1755,0.313841202
E02002745,245,0.033947624
E02002749,3502,0.30008569
E02002750,1155,0.183100824
E02002753,4617,0.533140878
