LAD19CD,LAD19NM,Extent of population living in highly clinically vulnerable areas,Extent of population living in highly health/wellbeing vulnerable areas,Extent of population living in highly economically vulnerable areas,Extent of population living in highly socially vulnerable areas,Extent of population living in highly socioeconomically vulnerable areas,Extent of population living in highly vulnerable areas,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Socioeconomic Vulnerability quintile,Vulnerability quintile,Vulnerability rank,LA spending power rank,Volunteer rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,Flooding incidents per capita,Flood incidents quintile,Total dwelling fires (three-year average),Dwelling fire incidents per capita,Fire incidents quintile
E07000142,West Lindsey,0.7398076904939831,0.7976730793875877,0.1939516596570007,0.2898314074088868,0.1939516596570007,0.6579716018376587,5,5,3,2,2,5,265,197,125.5,33.27802905156003,126,5,2,West Lindsey,11954,0.12600533367064057,5,5,5.270425534157628e-5,2,73.5,7.747525535211713e-4,3
E07000143,Breckland,0.49519086025465664,0.42364915529354785,0.22418601409537667,0.3497800359693886,0.21982033437705756,0.2790102827423618,5,4,3,3,2,3,147,309,260,115.58088165935852,314,10,5,Breckland,558,0.004004909243588916,1,7,5.024079696258496e-5,2,95.5,6.854280157038377e-4,2
E07000144,Broadland,0.27392632213141144,0.6141888458323712,0.11394773023673314,0.06415866064778829,0.046854724093184204,0.27784771299967154,4,5,2,2,1,4,242,300,125.5,74.93372577791487,286,10,5,Broadland,977,0.007546499412964222,1,NA,NA,NA,84,6.488290181054193e-4,1
E07000145,Great Yarmouth,0.5739314258777667,0.4558266023315308,0.5342820029342753,0.5512327664284995,0.49750917623130986,0.8142043823456195,5,4,5,4,4,5,310,201,260,61.053787256232766,257,9,5,Great Yarmouth,16378,0.16481835564053537,5,NA,NA,NA,91,9.157693468853779e-4,4
E07000146,King's Lynn and West Norfolk,0.6063699184130961,0.4026607010309564,0.13717132348429087,0.28026495202310076,0.15933283039957233,0.3909910141037557,5,4,3,4,2,4,250,272,260,81.89951081526388,298,10,5,King's Lynn and West Norfolk,43138,0.28415595707820906,5,8,5.2697103635441436e-5,2,131.33333333333334,8.651107846818304e-4,4
E07000147,North Norfolk,0.9970789654908563,0.7768716448324883,0.4931420174700275,0.34578157532288134,0.35421052128177966,0.8352170765693022,5,5,2,4,2,5,290,240,125.5,43.158819801735945,183,6,3,North Norfolk,3679,0.03518823169332007,4,13,1.243400413191522e-4,4,83.66666666666667,8.002397531053128e-4,3
E07000148,Norwich,0.27188066242467657,0.17486663760444776,0.3871149644447742,0.22107289930686977,0.3162881492898091,0.0732058212942035,2,3,3,3,2,2,105,168,24.5,18.79929811423948,65,3,2,Norwich,NA,NA,NA,NA,NA,NA,138.16666666666666,9.78954254849307e-4,5
E07000149,South Norfolk,0.24378253556102733,0.3690176038573432,0.13292157373443314,0.08246049399711629,0.08041038422802987,0.13874341566618606,4,4,2,2,1,3,148,195,125.5,32.90743549647178,125,5,2,South Norfolk,1931,0.013991030090496098,2,5,3.622742125969989e-5,1,86.5,6.267343877928082e-4,1
E07000150,Corby,0.7044317027479112,0.24826690386434552,0.498953268639004,0.15424741382449303,0.4247544981730874,0.3533929597172651,3,1,4,3,3,4,226,184,260,57.98565184131017,250,8,4,Corby,481,0.006791195448063591,1,10,1.4118909455433662e-4,4,52.5,7.412427464102673e-4,2
E07000151,Daventry,0.35143596171433267,0.30537850206454537,0.1921073812792955,0.1921073812792955,0.1921073812792955,0.11189100894843994,3,2,2,2,1,1,27,137,24.5,14.533644168119247,37,2,1,Daventry,386,0.004568912456796553,1,22,2.604043369158657e-4,5,58.333333333333336,6.904660448526743e-4,2
E07000152,East Northamptonshire,0.37868139696247194,0.2023485691738771,0.11223182869319488,0.12763936949267296,0.10263454944306008,0.19379483066493144,4,3,2,3,1,1,57,266,24.5,42.566854011227576,178,6,3,East Northamptonshire,326,0.0034715566630460245,1,6,6.389368091495751e-5,2,66,7.028304900645326e-4,2
E07000153,Kettering,0.2664890122626496,0.21480168955756956,0.13970592821199404,0.2789781367882606,0.2789781367882606,0.2694547554278622,4,3,3,4,2,5,260,180,24.5,20.68911713318035,73,3,2,Kettering,NA,NA,NA,11,1.0862480990658266e-4,3,90.66666666666667,8.95331766502742e-4,4
E07000154,Northampton,0.09978196604121675,0.22018208535560785,0.16150667379810152,0.31893268555094306,0.1652649134807028,0.12600933335889178,2,2,3,4,3,4,196,198,24.5,23.851312006399663,87,3,2,Northampton,3343,0.014848142982775621,2,92,4.0862373748589803e-4,5,183.33333333333334,8.142864333958113e-4,3
E07000155,South Northamptonshire,0.20263012825800653,0.08613738312706047,0.12580534593252302,0.3616554072312598,0.34735092744562046,0.10331974615780656,3,2,1,2,1,1,25,138,24.5,14.65958362757818,39,2,1,South Northamptonshire,1269,0.013716694590066476,2,13,1.4051775387774956e-4,4,57,6.161163054639789e-4,1
E07000156,Wellingborough,0.44418210401819236,0.15430609066262627,0.24032718090805666,0.43801584947042604,0.28774844677308914,0.22973421310895698,3,3,3,4,3,3,176,283,24.5,51.2374206812369,232,8,4,Wellingborough,213,0.0026799869146178815,1,13,1.6356727647902564e-4,4,68.5,8.618737260625581e-4,4
E07000163,Craven,0.8199351180950687,0.8013942756490042,0.327960433706733,0.22053865131578948,0.16296790725758653,0.5385217557195353,5,5,2,2,1,4,241,204,125.5,34.62425328926169,129,5,3,Craven,4270,0.07513372747747747,5,NA,NA,NA,46.666666666666664,8.211336336336336e-4,4
E07000164,Hambleton,0.6347318523446677,0.4087991020741002,0.14759584787236377,0.19369280400289685,0.17176846586807396,0.2582209770921477,5,4,2,2,1,2,70,282,260,87.25657466684842,303,10,5,Hambleton,2942,0.032282134000482805,4,8,8.778282529023197e-5,3,54.333333333333336,5.961916884294922e-4,1
E07000165,Harrogate,0.46773165510813153,0.663720313941026,0.09043452944746234,0.06481533391888272,0.0945461615204875,0.15365494617109385,4,5,2,1,1,2,99,140,125.5,24.52782779101969,89,3,2,Harrogate,2032,0.012657833591847158,2,25,0.00015573122037213533,4,113,7.039051160820516e-4,2
E07000166,Richmondshire,0.570263414904175,0.5822338271868538,0.4426321819310503,0.21234119782214156,0.16280801592667718,0.3850580643630713,4,3,2,2,1,1,43,154,24.5,16.77446169623237,53,2,1,Richmondshire,2288,0.04297197806325596,4,NA,NA,NA,38.66666666666667,7.262164124909224e-4,2
E07000167,Ryedale,0.6439315559474067,0.2639513454977575,0.5437773124544792,0.3141073619043968,0.5507084946525089,0.22301505539157435,5,3,3,3,2,2,114,132,260,50.54452645870472,229,8,4,Ryedale,3339,0.060797523670793885,4,NA,NA,NA,43.333333333333336,7.890264627336733e-4,3
E07000168,Scarborough,0.8829269732969859,0.5295288588875809,0.3968062434171804,0.1753187101158576,0.2753302058486416,0.7509298958752827,5,5,4,3,3,5,267,146,260,52.323161751109296,237,8,4,Scarborough,996,0.009159799882283695,1,NA,NA,NA,101.33333333333333,9.319207376888365e-4,5
E07000169,Selby,0.4033731262706628,0.12314655992212703,0.17467250713815716,0.2167731926611357,0.14709447175274393,0.09535653574040143,4,2,2,2,1,2,83,162,260,54.54003732557859,243,8,4,Selby,15135,0.1698538818934752,5,13,1.4589365474827735e-4,4,54.16666666666667,6.078902281178223e-4,1
E07000170,Ashfield,0.5368208499715836,0.06489803462025466,0.33392934385101175,0.46503914326480444,0.2946335873344126,0.12427066616608762,4,2,4,4,3,5,273,293,125.5,68.06923862387828,273,9,5,Ashfield,1704,0.013401388899812034,2,NA,NA,NA,91,7.156845011049854e-4,2
E07000171,Bassetlaw,0.6346286004898327,0.3797692821565979,0.30742654872359215,0.21521218356704072,0.07023436658902196,0.4856976379101967,5,4,4,2,2,3,183,262,260,77.55748460297185,292,10,5,Bassetlaw,3875,0.03316529583443884,4,NA,NA,NA,106.5,9.115107113207063e-4,4
E07000172,Broxtowe,0.2436106056776237,0.34638571431226556,0.05529168726604986,0.21699811538876143,0.2884402611692024,0.14902368216607623,4,3,2,4,2,3,154,311,125.5,93.1214815023887,307,10,5,Broxtowe,10333,0.09122289709725263,5,5,4.414153541916802e-5,1,93.5,8.25446712338442e-4,4
E07000173,Gedling,0.2505951694732731,0.5797398404063748,0.17705964519060882,0.24574308268250983,0.3094217479157116,0.3610326980152229,3,4,3,4,2,2,125,306,125.5,83.07470469055218,299,10,5,Gedling,8279,0.07028848929414362,4,NA,NA,NA,84,7.131577606846315e-4,2
E07000174,Mansfield,0.2537376346665029,0.35393966766587087,0.5910433326450607,0.4922371552128914,0.47463315633282543,0.5163296871003042,4,3,5,4,3,4,207,288,125.5,64.17850887135963,268,9,5,Mansfield,NA,NA,NA,NA,NA,NA,83,7.625802776527228e-4,3
E07000175,Newark and Sherwood,0.3612720012607403,0.20611881178688293,0.33667780205164705,0.23607882051508514,0.273211779263073,0.23557171023407683,4,3,3,3,2,3,129,254,260,74.59174923748768,285,10,5,Newark and Sherwood,5501,0.045251139298817106,4,24,1.9742362173634075e-4,5,79.16666666666667,6.512237522552908e-4,1
E07000176,Rushcliffe,0.17108810067677543,0.3785939074556222,0.06659244843674313,0.16441834481419873,0.07799220753313542,0.08011319696441774,3,4,1,2,1,2,80,274,24.5,46.245286119018026,200,7,4,Rushcliffe,19210,0.16325177826312345,5,13,1.1047751782512259e-4,4,58,4.928996949120854e-4,1
E07000177,Cherwell,0.19162928506428412,0.1577092608163768,0.09079740400605632,0.13742545585677643,0.1448719839636366,0.15798977720647311,2,2,2,2,1,1,14,188,125.5,31.655453867817307,117,4,2,Cherwell,1931,0.012945743190244099,2,6,4.022499178739751e-5,1,120.33333333333333,8.067345575139167e-4,3
E07000178,Oxford,0.07950002267911642,0.09906238052965456,0.13542754226926898,0.06891254148317329,0.07594400543207468,0.03818515230646614,1,2,2,3,2,1,17,130,24.5,13.670863792972936,32,2,1,Oxford,5203,0.033714126497631655,4,29,1.879126789220292e-4,5,125,8.099684436294362e-4,3
E07000179,South Oxfordshire,0.35935356401166324,0.3597873033020974,0.10051573733057233,0.074379227263056,0.06069166039850522,0.1407554982514077,3,3,1,1,1,2,95,297,24.5,62.12399290663398,260,9,5,South Oxfordshire,1621,0.011537038091442237,2,10,7.117235096509707e-5,3,95.66666666666667,6.808821575660954e-4,2
