LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E07000193,East Staffordshire,14032,0.11833960227368563,5,15,1.265032806517449,4,96,8.096209961711674,3
E07000194,Lichfield,1959,0.018842879815322466,3,12,1.1542345981820805,4,81,7.791083537729043,3
E07000195,Newcastle-under-Lyme,1572,0.012139933585605066,2,NA,NA,NA,98,7.568151980847942,3
E07000196,South Staffordshire,978,0.008722330235627776,1,4,0.35674152292956135,1,79.16666666666667,7.060509307980903,2
E07000197,Stafford,1377,0.010133941713276421,2,6,0.44156608772446276,1,109.5,8.058581100971445,3
E07000198,Staffordshire Moorlands,253,0.0025712166021321786,1,NA,NA,NA,79.16666666666667,8.045638247778557,3
E07000199,Tamworth,4844,0.06317327003834215,4,NA,NA,NA,74.33333333333333,9.694219115435109,5
E07000200,Babergh,687,0.007516329143007188,1,6,0.656447960087964,2,56.666666666666664,6.199786289719659,1
E07000202,Ipswich,2493,0.01812669051566181,3,17,1.2360759677747724,4,109.16666666666667,7.937546655808588,3
E07000203,Mid Suffolk,940,0.009171358043963978,1,9,0.8781087488901681,3,56.333333333333336,5.496310317127349,1
E07000207,Elmbridge,5890,0.043110388945003145,4,44,3.220470481460337,5,91.33333333333333,6.684915999394941,1
E07000208,Epsom and Ewell,NA,NA,NA,13,1.6264638174356922,4,72.16666666666667,9.028959396790446,4
E07000209,Guildford,1423,0.009622081425934315,2,NA,NA,NA,107.83333333333333,7.291504664534436,2
E07000210,Mole Valley,1468,0.016824636402186743,3,34,3.8967141530950227,5,80,9.168739183752994,5
E07000211,Reigate and Banstead,1684,0.011397091169961491,2,27,1.8273245937586713,5,114.66666666666667,7.7604896327528765,3
E07000212,Runnymede,12863,0.14617045454545455,5,520,59.090909090909086,5,63.5,7.215909090909092,2
E07000213,Spelthorne,8475,0.0853182193408098,5,149,14.999899329534701,5,101,10.167716995187952,5
E07000214,Surrey Heath,516,0.005805972500393816,1,NA,NA,NA,74.5,8.38265409456084,4
E07000215,Tandridge,2305,0.026344061442808812,3,24,2.7429825363445186,5,55.666666666666664,6.362195605132425,1
