LAD19CD,LA spending power rank,Volunteer rank,Emergency response rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile
E07000082,206,24.5,278,71.98182730630838,207,7,4
E07000244,314,260,313,216.73905001996403,315,10,5
E08000024,22,260,3,40.09990993669064,70,3,2
E07000214,155,125.5,172,44.180471099591,86,3,2
E09000029,78,260,26,46.616889980307,106,4,2
E07000113,271,260,125,92.74105968713532,259,9,5
E06000030,106,24.5,225.5,38.89641720021525,68,3,2
E08000008,48,260,59.5,46.711532899120904,107,4,2
E07000199,289,260,241,123.99604775701856,295,10,5
E07000215,158,125.5,172,44.60217142147236,91,3,2
E07000246,313,125.5,259.5,137.00907676711472,305,10,5
E07000045,222,125.5,259.5,76.6971735512802,220,7,4
E06000020,77,24.5,232,37.61184536473524,66,3,2
E07000076,244,260,184.5,91.03336384224806,256,9,5
E07000093,227,125.5,110,49.311914567415116,120,4,2
E07000083,225,24.5,278,76.17006908939386,219,7,4
E07000114,200,260,125,72.17606843908199,210,7,4
E07000102,251,125.5,98.5,54.940750367052665,156,5,3
E06000034,109,260,184.5,67.57222779752553,195,7,4
E07000115,149,125.5,125,37.0212592885427,63,3,1
E06000027,17,125.5,259.5,50.7558603373125,132,5,3
E07000046,175,260,259.5,94.71242904270932,266,9,5
E09000030,13,125.5,26,14.131370371372235,12,1,1
E08000009,117,125.5,59.5,26.421407864440106,39,2,1
E07000116,260,125.5,125,61.07781953651925,177,6,3
E07000077,150,125.5,184.5,45.522079652888046,99,4,2
E07000180,212,125.5,302,102.23316277793207,278,9,5
E08000036,71,260,91,51.70527276102369,140,5,3
E08000030,31,260,46,44.156277851106374,85,3,2
E09000031,67,125.5,26,18.578866275218797,23,1,1
E09000032,122,125.5,26,24.213455179237627,37,2,1
E06000007,111,125.5,202,43.952367633494994,83,3,2
E07000222,173,125.5,194,50.53301797865295,129,5,3
E07000103,141,125.5,98.5,33.041489596633184,54,2,1
E07000216,247,24.5,172,53.29993419841419,146,5,3
E07000065,203,125.5,85.5,41.501639472863815,75,3,2
E07000156,283,24.5,232,80.83388726674343,225,8,4
E06000037,68,24.5,148,21.378501428697106,29,1,1
E07000047,145,125.5,259.5,63.37454110050969,185,6,3
E07000127,257,260,71.5,81.40118673056234,228,8,4
E07000142,197,125.5,249,67.80361498093004,196,7,4
E07000181,308,125.5,302,152.55272604029176,313,10,5
E09000033,46,125.5,26,16.74576869213031,19,1,1
E08000010,96,260,59.5,51.17480514295869,135,5,3
E06000054,85,125.5,225.5,46.358903669479915,104,4,2
E07000094,236,24.5,110,42.035255329983286,78,3,2
E06000040,121,24.5,148,26.806252557692495,40,2,1
E08000015,33,260,52,44.82493549085025,93,3,2
E07000217,148,24.5,172,33.611291612425205,58,2,1
E06000041,63,125.5,148,30.541124840394605,50,2,1
E08000031,20,260,46,43.29746778889943,80,3,2
E07000237,280,125.5,291.5,114.52236863301269,289,10,5
E07000229,172,125.5,220,55.68672720312172,161,6,3
E07000238,219,125.5,291.5,93.26313781537135,262,9,5
E07000007,305,125.5,278,128.07403847865515,301,10,5
E07000128,210,260,71.5,68.60215424593015,200,7,4
E07000239,245,260,291.5,127.11476346546523,296,10,5
E06000014,119,24.5,291.5,67.83509470261512,197,7,4
E07000242,216,125.5,98.5,45.51853359429697,98,4,2
E08000037,18,125.5,3,12.777208051789987,6,1,1
E06000057,19,125.5,316,112.70886460458293,288,10,5
E07000240,273,24.5,98.5,54.13761917124422,151,5,3
E07000243,233,125.5,98.5,49.6181184575522,121,4,2
E07000241,230,125.5,98.5,48.83950812259005,117,4,2
