LSOA11CD,No. people in flood risk areas,% people in flood risk areas
95GG23S1,804,0.5742857142857143
95GG23S2,1557,1.0163185378590078
95GG23S3,1298,0.8178954001260239
95GG24S1,1281,1.00078125
95GG24S2,1561,1.0116655865197668
95GG24S3,1571,0.9980940279542567
95GG25S1,2453,1.0073921971252566
95GG25S2,1740,1.0145772594752187
95GG25S3,1468,1.0110192837465564
95GG26S1,1672,0.840623428858723
95GG26S2,1842,0.9962141698215251
95GG27S1,1100,0.6862133499688085
95GG27S2,1714,0.9994169096209913
95GG27S3,1661,0.996998799519808
95GG27S4,1577,0.9912005028284098
95GG28S1,1752,0.7828418230563002
95GG28S2,1679,1.0151148730350665
95GG28S3,1745,0.9937357630979499
95GG29S1,2596,0.9664929262844378
95GG29S2,2829,0.9846849982596589
95GG30S1,1591,1.0050536955148452
95GG30S2,1667,0.9934445768772348
95GG30S3,1413,1.0064102564102564
95GG31S1,2247,0.9868247694334651
95GG31S2,1913,0.9984342379958246
95GG31S3,2075,1.01318359375
95GG32S1,1499,0.3982465462274176
95GG32S2,1550,0.9885204081632653
95GG32S3,1601,0.9968866749688667
95GG33S1,1960,0.9884014120020171
95GG33S2,1672,1.0257668711656442
95GG33S3,1952,1.0203868269733403
95GG34S1,1472,0.983957219251337
95GG34S2,1479,1.013013698630137
95GG34S3,1878,1.0064308681672025
95GG35S1,2010,0.9925925925925926
95GG35S2,1417,1.012866333095068
95GG35S3,1223,0.933587786259542
95GG36S1,1878,1.0140388768898487
95GG36S2,1937,0.9979392065945389
95GG36S3,1863,0.9893786510886883
95GG37S1,2150,0.9976798143851509
95GG37S2,1855,1.0021609940572664
95GG37S3,2485,1.0056657223796035
95GG38S1,3262,0.9954226426609704
95GG38S2,1889,0.9890052356020942
95GG38S3,1572,0.9880578252671276
95GG39S1,2427,0.90424739195231
95GG39S2,2909,0.9722593582887701
95GG39S3,2115,1.0129310344827587
95GG40S1,2008,0.9891625615763546
95GG40S2,2333,0.9987157534246576
95GG41S1,945,0.4836233367451382
95GG41S2,1589,0.9918851435705368
95GG41S3,2116,1.0042714760322733
95GG42S1,1861,0.9830956154252509
95GG42S2,1827,1.0463917525773196
95GG42S3,2475,0.9892086330935251
95GG42S4,2322,0.9910371318822023
95GG43S1,1097,0.6826384567517113
95GG43S2,1782,1.0130756111426946
95GG43S3,1708,0.9889982628836133
95GG44S1,3093,0.9744801512287334
95GG44S2,3045,0.9620853080568721
95GG45S1,1286,0.7827145465611686
95GG45S2,1612,1.0031113876789048
95GG45S3,1687,0.9935217903415783
95GG46S1,1335,0.8095815645845967
95GG46S2,1763,1.0149683362118596
95GG46S3,1599,0.9956413449564134
95GG47S1,2697,0.9944690265486725
95GG47S2,1767,1.0056915196357428
95GG47S3,2051,0.9832214765100671
95GG48S1,1515,0.9856864020819779
95GG48S2,2433,0.9938725490196079
95GG48S3,1619,0.9776570048309179
95GG49S1,1688,1.0011862396204034
95GG49S2,2165,1.0126286248830683
95GG49S3,2082,0.9928469241773963
95GG49S4,2059,1.0137863121614967
95GG50S1,1624,0.9866342648845686
95GG50S2,2192,0.9851685393258427
95GG50S3,1932,1.0141732283464566
95GG51S1,1279,0.9815809669992326
95GG51S2,1366,0.9674220963172805
95GG51S3,1458,1
95HH02S1,1275,1.007905138339921
95HH02S2,752,0.45714285714285713
95HH03W1,1630,0.9825195901145268
95HH04S1,1579,1.0095907928388748
95HH04S2,1260,1.0120481927710843
95HH05W1,2147,1.0185009487666035
95HH06S2,1191,0.4580769230769231
95HH07W1,1577,0.9807213930348259
95HH08W1,2494,0.8471467391304348
95HH09W1,2779,1.0076142131979695
95HH10W1,2325,0.8541513592946363
95HH11W1,1530,0.9751434034416826
95HH12W1,1523,0.9908913467794405
95HH13W1,1459,1.008293020041465
95HH14W1,1471,1.0103021978021978
95HH15W1,2480,1.0126582278481013
95HH17W1,903,0.3826271186440678
95II01S1,1257,0.7359484777517564
