MSOA11CD,Number of fires (three-year average),Proportion of fire incidents per person
E02000087,7.5,9.336486991161459e-4
E02000088,4,6.177606177606178e-4
E02000089,5.5,8.373934226552984e-4
E02000090,8,8.43614889802805e-4
E02000091,7,8.333333333333334e-4
E02000092,3,5.913660555884093e-4
E02000093,6.5,7.322293567646727e-4
E02000094,5.666666666666666,6.10829650389853e-4
E02000095,7.333333333333334,0.0010378337579016888
E02000096,4,6.825938566552901e-4
E02000097,5,7.042253521126761e-4
E02000098,6,8.623167576889911e-4
E02000099,7.5,8.45356176735798e-4
E02000100,5.333333333333334,9.056432897492501e-4
E02000101,9.5,9.93516000836645e-4
E02000102,8.5,0.0011218160221723636
E02000103,9.166666666666666,9.929231658001155e-4
E02000104,6.833333333333334,9.418791637950839e-4
E02000105,8.166666666666666,8.379506122169778e-4
E02000106,9.833333333333334,9.19518733246057e-4
E02000107,15.5,0.0013418751623236083
E02000108,4.5,6.863941427699817e-4
E02000109,12.666666666666666,9.366065266686384e-4
E02000110,8.5,9.909069713219865e-4
E02000111,11.333333333333334,0.001035385833485596
E02000112,7,6.647673314339981e-4
E02000113,14,0.001451378809869376
E02000114,8.833333333333334,8.861690743713216e-4
E02000115,11,0.0012620468104635153
E02000116,11.666666666666666,0.0012402111902483964
E02000117,13,0.0010102580043518806
E02000118,5.833333333333333,6.573510630305762e-4
E02000119,8.5,9.381898454746137e-4
E02000120,8.5,9.192170433654158e-4
E02000121,6.166666666666667,7.13321765953345e-4
E02000122,9.666666666666666,0.0015679913490132468
E02000123,19.333333333333332,0.0012381257338029673
E02000124,7.5,7.495502698380972e-4
E02000125,8.5,8.369436786136275e-4
E02000126,8.333333333333334,0.0010738831615120276
E02000127,9.333333333333334,9.93330495246204e-4
E02000128,5.5,7.084889862166688e-4
E02000130,4.5,6.237870806764625e-4
E02000131,7.333333333333333,6.861919466017903e-4
E02000132,8,7.7949917178213e-4
E02000133,8.5,8.003766478342749e-4
E02000134,11.166666666666666,0.0010776555362542624
E02000135,13,0.0012160898035547241
E02000136,5,8.638562543192813e-4
E02000137,6.5,7.612132568216419e-4
E02000138,5,9.574875526618154e-4
E02000139,8.333333333333334,0.0010427093760427095
E02000140,8,0.0010967918837400603
E02000141,6.666666666666667,0.0010995656715597339
E02000142,6,6.778129236330773e-4
E02000144,4,4.969561436203255e-4
E02000145,7.5,8.221881166410875e-4
E02000146,7.333333333333333,7.619839290662233e-4
E02000147,3,6.612298875909191e-4
E02000148,7,0.0010371906949177656
E02000149,7,8.55431993156544e-4
E02000150,8,0.0011312217194570137
E02000151,3,6.602112676056338e-4
E02000152,7.5,9.371485692865175e-4
E02000153,3,5.896226415094339e-4
E02000154,6.333333333333334,8.907641819034225e-4
E02000155,5.5,7.936507936507937e-4
E02000156,7,7.500267866709525e-4
E02000157,7,0.0014843087362171332
E02000158,5.166666666666666,0.001046519478765782
E02000159,2.666666666666667,7.700452401578593e-4
E02000160,6,9.678980480722697e-4
E02000161,4,7.944389275074479e-4
E02000162,3.5,6.643887623386484e-4
E02000163,5,7.869058860560277e-4
E02000165,4,9.9626400996264e-4
E02000166,10.166666666666666,0.0010908440629470671
E02000167,10.166666666666666,0.001277379905348243
E02000168,10,0.0010323113451016826
E02000169,6.5,6.652338552860505e-4
E02000170,8,9.876543209876543e-4
E02000171,9.166666666666666,9.635936788254669e-4
E02000172,8.666666666666666,6.988120195667365e-4
