LAD19CD,Mean waiting list size
E07000124,8464.333333333334
E07000127,6170.833333333333
E07000128,5000
E07000130,17254.5
E07000131,11020.083333333334
E07000132,17254.5
E07000133,17254.5
E07000134,17254.5
E07000135,17254.5
E07000136,13449.333333333334
E07000137,13449.333333333334
E07000138,12657.888888888889
E07000140,10899.833333333334
E07000141,11463.666666666666
E07000142,10987.416666666666
E07000143,4189.666666666667
E07000145,9526.833333333334
E07000146,8966.833333333334
E07000147,13384.333333333334
E07000149,10459.666666666666
E07000151,6906.166666666667
E07000153,6965.25
E07000154,12421.333333333334
E07000155,13103.333333333334
E07000156,4785.666666666667
E07000163,5333
E07000164,6015.033333333334
E07000165,6423.666666666667
E07000166,4964.5
E07000167,6325.444444444444
E07000168,7088.375
E07000169,4946.916666666667
E07000170,11578.75
E07000171,6831.5
E07000173,17122.833333333332
E07000174,8543.833333333334
E07000175,12833.333333333334
E07000176,17122.833333333332
E07000177,13103.333333333334
E07000178,12340.166666666666
E07000179,7234.944444444444
E07000180,13103.333333333334
E07000181,13103.333333333334
E07000187,1837.3333333333333
E07000189,4137.722222222223
E07000192,7338.166666666667
E07000193,14613.666666666666
E07000194,9312.583333333334
E07000197,13789.833333333334
E07000202,9481.166666666666
E07000203,8972.666666666666
E07000207,8790
E07000208,8499.416666666666
E07000209,7093.666666666667
E07000210,6775.541666666667
E07000211,5040.708333333333
E07000212,5431.541666666667
E07000213,4761.083333333333
E07000214,11389
E07000215,4333.666666666667
E07000216,6565.111111111111
E07000217,7436.875
E07000219,4707.5
E07000220,6138.166666666667
E07000221,8117.416666666667
E07000222,6138.166666666667
E07000223,8848.333333333334
E07000224,5210.833333333333
E07000225,5210.833333333333
E07000226,6865.666666666667
E07000227,5642.375
E07000228,7352.333333333333
E07000229,9213.111111111111
E07000235,10810.833333333334
E07000236,10810.833333333334
E07000237,9977.833333333334
E07000238,5820.583333333333
E07000239,10810.833333333334
E07000240,12243.25
E07000241,11329.833333333334
E07000242,13735.458333333334
E07000243,12536.916666666666
E07000244,12433.388888888889
E07000245,9735.416666666666
E08000001,7377.583333333333
E08000002,12324.25
E08000003,9476.966666666667
E08000004,8324.388888888889
